userName,score,at,content
Fauzia Zilfa,3,2024-05-08 20:24:16,"ini kenapa sih ya? setiap aku post video udah gabisa, udah ke upload tapi kenapa gabisa fyp/tayang di akun aku sendiri. aku lihat pake akun lain juga tetep video aku gabisa, ini kenapa ya?"
SKSD Uhuyy,5,2024-05-08 20:06:22,"Ini kenapa sihh, ganti² mulu loh terus kadang video nya jadi hitam cuma ada suara di tambah pas ada kek au gitu ga bisa di slide, gimana sih kalo mau ganti nanggung banget orang udah nyaman geh"
Siti Uswatun Khasanah,4,2024-05-08 19:57:53,"Aplikasiku kmrn hampir kena hack..padhal sudah aktifkan verifikasi 2langkah..,musik favorit yg udah aku save tiap mau di pakai tidak muncul di list,tpi kadang tiba2 juga muncul sndiri"
Rose Manah,2,2024-05-08 19:55:13,"Maaf kasih bintang 2 karna gk ada shop nya+gk bisa d update kenapa ya?? Aku udh donload dari dulu ada sih shop udh d update juga tpi sekarang gda shop+ g bisa d update tadi sih masih ada ya shop+ aku mesen barang tpi sekarang malah berubah jadi teman,tolong perbaiki pliss🙏"
Veti Purwaningrum,1,2024-05-08 19:49:19,"Entah kenapa tiba tiba buka tik tok kok hp ku jadi ngderop.... beda dari tik tok lite , ini kenapa ya jaringan internet lancar . terus memory juga masih banyak penyimpanan hapus cache juga udah nol ini kenapa tiba tiba buka tik tok hp jadi eror"
Ayu Sukma,2,2024-05-08 18:58:44,"Ini aplikasi nya gimana sih kan tadi disuruh update tapi setelah itu aplikasi tiktok nya kok gk bisa dibuka sih, ini gimana sih tolong diperbaiki ya aplikasi nya🙏 maaf ini saya kasih bintang 2 dulu kalo sudah diperbaiki akan saya tambah bintang nya"
Nazwa Karimatul m.,3,2024-05-08 18:51:52,"pemakaian awal bagus aja setiapa update ada fitur baru tapi ini kenapa ya sekarang sekarang ni setiap updte pasti hp bkal ngebug dan tiktok tidak bisa lagi, dibuka setelah beberapa jam /hari ,sudah 2× seperti ini membuat hp orng rusak pdh awal awal bagus"
Davy Gunawan,1,2024-05-08 18:26:57,"Tik Tok sebagai pemegang saham terbanyak di Tokopedia, mohon aturan Tokopedia point' M nomor 2 di evaluasi kembali dan kalo bisa di cabut aja dan dibuang, karena merugikan banyak pihak, baik bagi Tokopedia dan bagi seller karena banyak pembeli yang diblokir fasilitas belanja nya memakai dasar aturan tersebut, sehingga banyak pembeli yang tidak mau belanja lagi di Tokopedia dan beralih ke aplikasi belanja yg berwarna oranye. Tolong ini mendapat perhatian sepenuhnya dari Tik Tok. Tq."
Noviaa Novv,1,2024-05-08 18:16:38,apalah habis di update kok gak bisa di buka apk nya busuk bgt masa iya bug tiap saat adanya jg cuma tt buat cari hiburan malah gk bisa di buka gimana sih benerin lagi coba (pdhl penyimpanan jg ngga penuh)
Jelovetha Abigail,3,2024-05-08 17:58:18,"kenapa ya smenjak saya perbarui kadang tuh gbisa di buka, di klik kdg gabisa cuma balik lagi ke layar utama! pdhl sblum prbarui ga gitu. niatnya di perbarui makin lancar mlh kdg gbisa dibuka, gatau knp."
yong andra yuriansyah,5,2024-05-08 17:56:57,Tiktok makin lama makin gakjelas deh Udah 3 hari kaya gini teruss Kalo mau buka tiktok lama banget padahal sinyalnya bagus Jadinya harus dihapus trus download lagi setiap mau buka apk ini pengen banting hp nih jadinya MOHON DIPERBAIKI !!!
Nurus Astia,4,2024-05-08 17:44:36,"Aku awalnya punya Tik tok terus aku hapus aplikasinya habis itu aku download lagi kn terus pas bikin video tidak ada tanda buat ambil video biasanya kan video sebelum di pos bisa diambilkan tanpa perlu pos tapi kok ini gak bisa, coba dong ini kenapa"
Dewi Durga,3,2024-05-08 16:37:51,Aplikasinya sudah bagus aku suka tapi setiap aku mau coba filter filter yang lagi tren kadang gak bisa. Kan aku juga mau nyobain filternya. Tapi untuk yang lainya sudah bagus kok
AnisaDena,2,2024-05-08 16:35:58,"udh bagus-bagus bikin vidio eh ngga ada yang kesimpen samsek ,padahal udah ada pemberitahuan sudah tersimpan ya udh dong lanjut bikin vidio lain lagi ,eh ternyata pas cek galeri ngga ada sama sekali vidio nya, kesel bangetttt"
Su Darwan,5,2024-05-08 16:13:21,Aplikasi ajang bisnis dan hiburan.lumayan dan ayo ramaikan tik tok.saya ada disini untuk demokrasi dan dukung kreatifitas!!!maling maling data keluarga dan pemerintah harus remuk!!! Saya mau teriak dimanapun...mereka adalah MALING!!!
Ni made risa Andini,3,2024-05-08 15:36:19,Saya suka aplikasi tik tok tetapi kenapa banyak sekali efek yg tidak bisa di gunakan padahal saya suka dengan efek itu kemarin juga saya bisa memakainya terus sekarang udah ga bisa orang² aja bisa aku ga bisaa :(
Tilut Vaganza,5,2024-05-08 15:34:00,"fitur fitur nya bagus. cuma, bagi saya MB update nya terlalu besar (untuk hp dengan device kecil, seperti saya:) tolong kurangkan ya. opsional sudah bagus🔥"
Lestari Lestari,3,2024-05-08 14:48:08,"Tolong perbaikin, Saya nonton tiktok tiba-tiba suka keluar dari aplikasi. Bisa kejadian sampe 3 kali bahkan, ini juga menganggu banget karena ada bug lain yang hanpir mirip ya itu kalau lagi nonton lebih dari 3-6 menit pasti loading sendiri yang buat video bagus yang belum kita like hilang"
Alip Gamer,2,2024-05-08 14:31:51,Tiktok Gimana ni punya temen temen aku tiktok nya udah pada fyp sama udah pada ke update fitur tiktok shop ada tapi kok punya ku gak ada fitur tiktok shop gak ada fyp kagak gue buat vidio gak ada yang fyp plng yang nonton cuma dibawah 100 tolong perbaiki tiktok ku Su
Jihan Septia Fahira jihann,4,2024-05-08 14:23:25,"plis mau bertanya nih,kok kalau lihat komentar likenya 0 semua apa ini bug setelah update atau apa ya,soalnya komen di vid vid lain 0 semua :( tapi bagus deh kalau lagi gabut sambil rebahan nnton TT,aku kasih bintang 4 dlu ya nnti kalau dah in repair bakal kasih bintang 5 pokoknya!"
Melinda Mel,3,2024-05-08 13:10:01,"Aplikasi ini sangatt berguna disaat saya sedang gabut aww,btw min tolong aku dong kenapa yah, aku mau buka aplikasi ini tapi dia tidak bisa dibuka udah ku tekan aplikasi nya tp tetep gamau dibuka, aku jadi sedii minn tolong dong minn:(( aku gabisa hidup tanpa tiktok Mohon dibalas yaa min!! :)"
Rupini Rupini,3,2024-05-08 12:32:01,"Aplikasi yang bagus Tapi kenapa saya belum bisa membuat daftar putar di akun ke dua Padahal sangat di perlukan,Dan juga sering ngelag tanpa sebab apapun Dan tidak bisa masuk ke tiktok nya"
Derryy Deryyyjoo,1,2024-05-08 12:30:14,"Kenapa tiktok saya di pake beberapa hari, setelah itu tidak bisa di buka lagi, harus di hapus dan download lagi aplikasinya, apakah semua tiktok seperti itu, Mohan pecerahan nya??"
Widy Ilyasa,1,2024-05-08 11:57:04,Komunitas tiktok terlalu buruk & tidak profesional.. selalu men take down upload video yg tidak seharusnya di take down. Semakin buruk & diperparah oleh topup saldo semakin mahal.. sangat buruk..
REYFANSIAPA?',5,2024-05-08 11:46:28,"Aplikasi ini sangat membantu sekali dan kualitas aplikasi ini sangat luar biasa, terimakasih tiktok sudah membuat aplikasi ini bintang 100 untuk mu-!!"
Amelia,2,2024-05-08 11:40:12,"saat itu tiktok aku nggak bisa dibuka, lalu aku hapus dan download ulang. untungnya bisa masuk lagi dan akun aku nggak hilang. tapi, pas masuk banyak fitur yang hilang. kayak fitur repost/posting ulang, slide photo, dan translate kata-kata di vt. tolong, secepatnya diperbaiki. halo, ini gak bisa dibuka lagi. tolong sebaiknya bagaimana, ya? . hai, halo. ini sekarang malah bikin handphone aku ngelag. aneh, kan?saat aku hapus tiktok, hp aku udah gapapa? ini kenapa ya? hp aku ga sejelek itu deh"
Restu Aidah Nainggolan,3,2024-05-08 11:15:07,"Sorry kasih bintang 3 dulu, soalnya belum ke langit ngambil bintang 2 lagi. Lagian males ah, masa apknya ga bisa mode gelap? lagian juga sekarang dah ga bisa sate foto. bikesdeeh... Mohon bantuannya developer."
Putzz Senpai_,2,2024-05-08 10:24:50,"Tiktok sekarang tidak kayak dulu lagi, dulu yang akun ku sering fyp, sekarang tidak ada yang nonton sama like, bahkan udah sampek 2 bulan, vidio tidak kena pelangaran atau apa, tapi tetep tidak bisa fyp, udah cari solusi nya masih tetep tidak fyp, Tiktok setelah update jadi tidak bener, semoga di baca dan kasih tau solusi nya 🙏🙏"
Kisma,1,2024-05-08 09:28:33,"Aplikasi nya bgus, tpi pas update gk bisa"", padahal,penyimpanan oke,wifi gk nge-lag, trus pas buka tiktok suara nya ilang semua, jdi tolong perbaiki, padahal udh di update tiktok nya, sinyal bgus, tpi muter"" mulu, and pas ngirim pesan bisa, liat video doang yg gak bisa jdi tolong perbaiki, 🙏🙏"
Nurul Melayu,5,2024-05-08 08:54:03,Aplikasi bagus Tapi kenapa tidak bisa melakukan COD di tiktok saat ingin berbelanja padahal semuanya sudah benar dan ada juga penjual sudah meng aktifkan metode COD tapi tetap tidak bisa saya sedikit kecewa
Hiantyo Tyo,5,2024-05-08 08:19:48,"Menghibur, menambah pertemanan, menambah, menambah wawasan. Tapi sayangnya kena pelanggaran gara² iklan slot waktu live game."
Laras Fiqa,2,2024-05-08 08:13:16,"ini tiktok kenapa ya?? setiap mau dibuka selalu ngelag/ngebug keluar² sendiri sampe ga bisa dibuka perasaan jaringan full, kuota juga full tapi kenapa ga bisa dibuka? apk nya jg udah sy update tapi tetap saja susah buat dibuka, baru dipencet keluar terus tolong tiktok diperbaiki, ini sy mau scroll jadinya susah"
Wahdatus Zahra,4,2024-05-08 06:29:43,"Ya meskipun baguss tp knp tiktok, lain nya bisa di perbarui, sedangakan aku masih ga ada apdetan, niatnya sih mau pakek virlter, flower language, itu pliss lah adakan ke saya tiktok🙏🙏😭"
imah samantha,1,2024-05-08 05:52:57,Sering nggak bisa dibuka qplikasinya. Kadang harus uninstall dulu biar bisa buka app nys
Khayla Rahmawati,1,2024-05-08 05:05:13,"Aku udh update, tpi kok gk bisa msuk y? Memory hp ku juga udh ku optimalin, udh ku brsihin, tapi knp ttp lemot, ak mau uninstall, tapi nanti akun ku hilang, jdi Sya hrpkan bsa d perbaiki!"
Hari M Rudy,2,2024-05-08 04:58:40,"Kenapa sih kalo setiap masuk tiktok itu langsung ngelag semua.... Jaringan aman,memory juga aman, semua aman gak ada yg bikin ngelag... Tp pas masuk tiktok itu tiba tiba gambar hitam,Suara lagunya ada sih.... Cuma tiba tiba kadang ngebug tapi suaranya masih ada.... Tolong di perbaiki lagi dong, saya agak emosi an, kadang hp saya suka tak banting soalnya.... Jadi mohon di perbaiki ya!?"
garuda emas,1,2024-05-08 04:33:24,Saya selalu stac di logo tiktok nya saja pas saya tunggu HP saya tiba tiba restart sendiri dan tidak bisa di pencet mohon dari pihak tik tok untuk perbaikin mungkin ini bug saya juga gak tau mohon di benar kan hal seperti ini
Keysa Alivia,5,2024-05-08 00:04:17,"Ini kenapa ya kok, tiktok gabisa di update? padahal saya hp memo nya semua sudah di apusin,tapi ttp aja tiktok gak bisa update kenapa ya kira ini?"
Farhan Yusup,5,2024-05-07 23:51:11,"Aplikasi TikTok memang keren sangat membantu memperbanyak pengalaman untuk semua orang, hiburan"" nya bikin asik, juga bikin banyak teman☺️🥰terimakasih TikTok☺️☺️"
Riki Sasmi Gusrianto,3,2024-05-07 23:03:19,"Saat mengupload video, sering terjadi pelanggaran padahal video saya berisi konten pendidik/matematika.. Jadi tiktok tolong diperbaiki dan di saring lagi mana yg melanggar mana yg tidak.. Masak konten matematika dijadikan konten pelanggaran, kan aneh .."
Eman Famz02,5,2024-05-07 22:20:20,"bg apk terbaru ko pas mau pake sound yang udah di tambahin favorit ga ada yah lagu nya,malah harus nyari lagu lagi,jadi kek ribet gth."
Subadi Badi,5,2024-05-07 21:31:04,Tiktok ini sangat baik dan benar apklasinya sangat baguss................................... Sekalih juga komentarnya lucu -lucu Kalau aku masih gabut maim gem terus Jadinya aku kalau masih gabut......................... Sekalih.......................... Aku jadinya main tiktok tapi biasanya Kalau masih sinjalnya lagi lemot jadinya aku kasih bintang 5 (lima)
Azzahra Intan,2,2024-05-07 21:26:30,"Tiktok aneh banget, bener² gabisa kebuka samsek . Kalo di buka bikin hp ngelag terus mati tiba², padahal aplikasi yg laen aman² aja kalo di buka"
fatir alafdhal,1,2024-05-07 21:21:00,"aplikasi baperan, engga ada salah tiba"" akunnya ke ban, kalau masi 1akun yang keban dan bisa log in akun lain di hp yang sama masi dimaklumin, lah ini udah ke ban abistu gabisa login diakun yang lain, hadeh tiktok"" diperbaiki dong sistem yang seperti ini, jangan kayak aplikas warna biru inisial ""f"", saya minta tolong banget sama admin tiktok buat diperbaiki sistem yang seperti ini, terimakasih!!!!"
Agus Sants,3,2024-05-07 21:18:02,"Kalo ngeliat slide foto-foto kok tumben gk bisa gerak sendiri, biasanya gerak kalo gk dipencet, terus juga beberapa lagu sama filter tidak bisa dipakai kayak lagu yang avatar itu, kadang tiba-tiba kepencet jadinya susah dipencet"
Ulfah latifah,3,2024-05-07 21:12:08,"Ko aneh sih, pas udah diperbaharui jadi gak bisa buka tiktok, malah jadi eror 🤦🏾‍♀️😏 menyebalkan sekali... Ada yg tau gak ini knpa ya. Wkwkwk"
Ryyzen 03,1,2024-05-07 20:56:27,"bug mulu setiap mau buka tiktok selalu kepental mulu,harus hapus dulu tiktok nya terus download lagi tiktoknya,biar bisa buka apk tiktok.hadeh ngehabisin memori ajah coba tolong benerin ini bug meresahkan banget."
Bilal anfield Arsyadi,4,2024-05-07 20:39:33,Seru bat dah Scrolling terus tiap hari seru tapi ku kasih b 4 karna biasanya kalo login gabisa walau udah berkali kali kadang pas udah di pencet ter keluar sendiri jadi kadang kecewa soalnya gabisa scrolling lagi jadi tolong di benerin lagi beberapa bug nya soalnya bikin risih udh matiin HP berkali kali masih terus Semoga di perbaiki sampe gaaada bug lagi tiktok tolong banget dibenarkan bug nya sangat bikin kesal tapi ku kasih bintang 4 karna kualitas nya yg sangat bagus sekian Terima kasih ygyy
Kharisma,2,2024-05-07 20:29:56,"setelah di update udah gak kaya dulu lagi, kalo buat foto ada watermak nya, gabisa kaya dulu lagi, padahal filter tiktok itu bagus bgt😞 sekarang jadi bingung mau foto, padahal udah cocok bgt pake filter tiktok"
Nicaaa,4,2024-05-07 20:26:20,"suka tik tok yang dulu, karna klo buat vidio trus di download, nggk ada logo tik tok nyaaa, klo sekarang malah ada😔😔😔 tapi apk nya baguss kok, cuma menurut ku abis di update rasanya aneh, trus suka jengkel klo mo buat vidio buat di simpen sendiri tapi malah ada logo tik tok nya"
Nabila Diqra,3,2024-05-07 19:17:25,"Aplikasi nya sangat bagus, tetapi sy harus menghapus kemudian mendownload ulang karena tidak dapat terbuka walau mencoba berkali-kali. Mohon bantuannya 🙏🏻"
Rahmat Siregar,5,2024-05-07 18:54:29,Sangat bagus bagi semua kalangan karena postingan2nya banyak yg mengedukasi dan menambah wawasan kita sebagai penikmat digital saat ini
Yunita 0108,2,2024-05-07 18:39:47,"kenapa sekarang aneh bnget si, punya ku ga bisa posting ulang ga bisa simpen video yang di buat sendiri tanpa watermark aneh bnget padahal dulu bisa bisa aja"
Ngamelia Putri,1,2024-05-07 18:15:57,Tiktok sekarang makin gajelas tiba tiba gabisa di buka sama sekali bukan karna data atau jaringan jelek dan bukan karna chache nya jg malah kalo di uninstall dan download ulang baru bisa kebuka lagi kecewa bngt skrng sama tiktok.
jaguar hitam,1,2024-05-07 16:29:04,"Setelah update harus menggunakan fitur promosi agar fyp klo gk make promosi yg biasanya bisa ribuan view sekarang cuma 100 view, lah followers gua folowers aktif semua bukan robot Story hanya bisa dilihat oleh teman, itupun gk semua yang bisa lihat Parah update kali ini, mengecewakan"
Putri Alifia,2,2024-05-07 14:31:00,"haloo knp ya ini tiktok ku ga bisa di buka? bener bener berhenti di loading screen nya aja :(. aku ga ngerti apa karena pending/gmn, padahal aku uda update loh?! tolong lah yg bener ajaah"
Rara Afifah,5,2024-05-07 14:22:34,"Saya sangat senang dengan tiktok memberikan banyak hiburan disaat saya merasa bosan dan related dengan video yg saya sukai,aplikasi ini berguna banget buat semua orang"
Amalia Nur fauzia,4,2024-05-07 13:23:13,"Saya suka dengan apk nya tapi banyak konten konten yg tidak pantas di lihat dan banyak sekali konten penghinaan agama , dan banyak juga pembullyan di aplikasi ini tapi untuk kualitas jujur ini bagus banget apa lagi sekarang sudah bisa untuk foto"
Rosida Lilis,2,2024-05-07 12:58:25,Tik tok sekarang makin besar MB nya dan makin nge lag😣😣 padahal ruang penyimpanan masih banyak dan sinyal enak tapi kalok buka Tik tok kek berat banget pas scroll tolong dong lebih di ringan kan lagi kasian hp yg android ga bisa lancar liat Tik tok nya gegara MB nya besar banget blom di aplikasikan sudah hampir 2GB gimana kalok di tambah di pakek tambah besar😣😣
Mithaqul eka,3,2024-05-07 11:43:05,Kenapa fitur save foto dihilangkan padahl ini salah satu fitur yg sering saya gunakan mohon kembalikan fitur save untuk foto dan vidio tanpa watermarknya
Tifa Julia,1,2024-05-07 10:34:46,ini kenapa tiktok gw gak bisa di buka woi tiba' keluar' sendiri mau masuk lagi gak bisa tolong lah tiktok. padahal udah gw uninstall dan download lagi tapi tetep gak bisa ke buka
Nur Aisyah,1,2024-05-07 10:12:40,"Kenapa ya kalau mau buka tiktok ko selalu aja keluar sendiri trus HP nya langsung mati kalau setiap buka tiktok dong kalau bukan aplikasi yang lain aman""aja kenapa tiktok gituh ya??"
Sarida Rida,5,2024-05-07 09:22:00,"Sebenernya mau dowload tiktok lite tapi pas liat komennya kurang bagus,,jadi mau gk mau dowload tiktok aja,karena tiktok udah lengkep bgt siihh,tapi tolong buat pengguna aplikasi ini untuk ringankan,karena kalo aku dowload tiktok ini pasti nge bug,,udah gitu aja🙏🏻🙏🏻"
M. Taufikul “Recehin” Basari,1,2024-05-07 09:18:41,"Tadinya 5 Sekarang 1 karena sering muncul sendiri ketika kita sedang buka aplikasi yg lain. Sungguh menganggu. Apalagi kalau sedang main game online, bisa langsung mati."
Virdid Virdidonxes,3,2024-05-07 09:04:21,Bintang 3 dulu emang bagus apknya namun saat saya mengupload selalu di feed padahal banyak yang konten sama kaya saya tetapi Kok setiap saya upload selalu terkenang feed padahal udah HD sekali tolong sistem feed di perbaiki Karena kami para creator tiktok kurang suka dengan sistem feed itu
Saputri Andriyani,2,2024-05-07 08:53:09,"Kenapa sekarang aplikasinya suka keluar sendiri,tiba"" hpnya macet"" sendiri terus batrainya tiba"" panas banget lagi. Setelah dihapus tiktoknya baru ok lagi.Padahal penyimpanannya masih bayak,data ok. Ini kenapa ya?"
awank gamers,3,2024-05-07 07:41:38,"semakin ksini sudah mulaen membaik perubahan nya, hnya 1 lagi, tolong untuk penarikan nya, jngn di haruskan 10rb, Krn lama banget nunggu nya, kl bisa penarikan nya kasih sehasil nya yg kita dapat aj untuk penarikan nya makasih"
Novrye Novrye,1,2024-05-07 06:56:14,"Tik tok yang sekarang ngak bagus,bagusan yang lama lagi asli saya kecewa sama aplikasi tik tok yang sekarang udah banyak kali perubahannya Saya kecewa sekali"
Kheyla Maritsza,1,2024-05-07 05:04:27,Kenapa kok tiktok di aku nggak bisa di pencet padahal wifi nya stabil tapi kok tetep nggak bisa dengan cara gimanapun tetep nggak bisa tapi kalo aplikasi lain bisa
jiyoon,4,2024-05-07 02:21:33,"suka sih, tpi selalu minta d update melulu mn mb ny bnyk bgt, tpi tolong d perbaiki y jgn minta d update trs, orng yg memony dikit gmn? nah kn mw update gbisa bisa jdi tlong jgn selalu minta d update, btw tiktok ini sgt bgs dn gw cm ksi 4 bintang krn y d atas tdi, cmiiw"
Bilal Fernando,1,2024-05-06 22:33:47,"apaan banget sih, habis update kok malah ditekan dari beranda malah ga bisa masuk ke aplikasi tiktok nya, ga 1× 2× tapi terusan saya sampe capek uninstall download lagi uninstall download lagi. Semoga cepat dibereskan🙏"
Ichigo Kurosaki,1,2024-05-06 22:05:02,"alasan knp saya kasih bintang ter rendah karena aplikasi nya tiba² tdk bisa dibuka dan saya sudah mencoba menghidupkan ulang berkali × dan ttp saja tdk bisa dan saya mencari informasi di YouTube dan google ttp tdk bisa dibuka dan saya mencoba menguinstal dan mendownload nya lagi....😭 sumpah ini kouta saya ampir abis gegara ini cok , sudah terulang 3×☺️😭👊🏻 tolong perbaiki segera woiii, capek gua, gue masih pelajar mana KLO kouta abis harus nabung lagi,ah elahh tolong ni yg punya tik tok lahh"
KPM Channel,1,2024-05-06 22:00:03,"Padahal ruang penyimpanan masih cukup banyak, entah kenapa setiap buka tik tok ngelagnya minta ampun, malah terkadang gak bisa di buka sama sekali 😕"
Nur Rahmah,3,2024-05-06 21:14:26,"Akhir- akhir ini aplikasi ini sering lelet,,waktu membuka aplikasi yg ada nampak tulisan tik tok nya tok sampe hpnya mati,,,terpaksa di delete lagi download lagii,,,waktu pertama ngedow load lancar banget,,,selang beberapa saat buka tutup aplikasi udahhhhh zonk lagi,,,,,tapi mengingat untuk melihat vidio yg menarik terpaksa harus hapus lagi download lagi,,,kenapa ya bisa gitu,,padahal saya duduk di samping mesin wifi😅 Tolong kembalikan tik tok seperti semula."
LulukDwi Poenya,1,2024-05-06 20:38:52,Ketika dibuka sering sekali tidak merespon loading yang sangat lama dan terkadang juga sering keluar sendiri aplikasi nya dan ada tulisan jika ada waktu pengecualian tiktok tidak merespon
marissa febiola,3,2024-05-06 20:04:54,"Jujur saya suka dengan aplikasi tiktok tapi saya menyayangkan mengapa setelah di update ke versi terbaru aplikasi tiktoknya sering nge bug dan ngeleg mana setiap masuk tiktok sering keluar tiba"" Lagi dan saat saya memencet aplikasi TikTok sama sekali tidak bisa masuk saya meng uninstall aplikasi tiktok dan mendownload kembali sekarang saya masih menunggu semoga setelah saya uninstall aplikasi tiktok dapat kembali seperti semula, tolong untuk developer saya mohon diperbaiki yah🙏"
Annisa Saputri,5,2024-05-06 19:10:31,"keren anjai aplikasi nya, banyak vidio random yang lucu, seru dan menarik buat di tonton, keren deh pokoknya, tapi tolong kembali in fitur posting ulang yang bisa liat tanggal nya dong PLISS DEH"
Muhammad Taufiq,2,2024-05-06 19:09:38,Tik tok udah nggk bagus lagi kayak dulu sekarang biasanya tik tok KALAU buat FIDIYO suara nyanyi nya harus di cari dulu sekarang udah nggak terus mAu aplot fidiyo nya malah ngkk bisa tolong dong tik tok nya kembali kan kayak dulu lagi
Nadia Fadhilah,2,2024-05-06 18:53:59,"setelah update ke versi terbaru, app tiktok di hp saya sering tidak mau dibuka entah kenapa padahal sebelum nya oke-oke aja harus di uninstall lalu di install ulang agar bisa dibuka mengecewakan"
Fahmi,4,2024-05-06 18:52:42,"Sengaja saya kasih bintang 1, soalnya aplikasi ini sangat mengganggu. Sangat tidak cocok buat bocil umur 20 tahun. Terutama buat ***** saya dia susah tidur malam karna adanya aplikasi tiktok ini. Aplikasi ini harus di hapus titik."
Shinobi Lokal,1,2024-05-06 18:36:11,gatau kenapa kadang ada bug yang ngebuat aplikasinya ga bisa ke buka dan juga harus di instal ulang agar bisa ke buka tolong itu di benerin bug nya udah buang buang data buang waktu lagi
Ilham Muzaky,2,2024-05-06 16:44:59,"Ini tiktok ada bug lagi, setiap sore tiktok saya ga bisa di buka harus hapus download lagi bukan seperti bug yang lama, ketika membuka tiktok hanya logonya saja, tapi ini TikTok saya benar"" ga bisa di buka, ketika saya buka tiktok tidak bisa masuk, dan ketika dari play store nya juga tidak bisa, jadi tolonglah saya sangat terganggu"
Kadek Su,5,2024-05-06 16:36:38,"Knpa dengan apk ini kok login susah bngt,,hrs hps dlu trus dounlod ulang br bisa buka,,dan itu berkali"" terjadi padahal saya suka banget dengan apk ini,,mohon batuannya min🙏🙏🙏"
Jessica putri nasution,2,2024-05-06 16:24:22,Kenapa ya tiktok ku gak bisa ada tiktok shop nya padahal udah di update loh dan udah sempet komplain di pihak akun tik tok nya tapi gak bisa juga udah berapa kali pas lagi ada tulisan update terus ku update juga gak ada keranjang kuning dan bagian shop nya anjir di tiktok ku. Sedih banget padahal kan juga pengen belanja di tiktok shop
Ikhsan Sopandi,5,2024-05-06 16:07:38,"Aplikasi yang sungguh menghibur,memberi pengetahuan juga.Tapi pas abis update jadi gak bisa like postingan ulang sama liat waktunya kapaaannn,semoga bisa lagi"
Fatimah 01,1,2024-05-06 16:02:45,Kalau masuk di aplikasi tiktok sering keluar sendirinya dan untuk bikin kontennya kalau kita cari lagu yang kita cari tidak muncul tolong yah di perbaiki
Astati Abdul Gani,1,2024-05-06 15:20:41,Kenapa sekarang tidak bisa menyimpan foto atau video setelah kita foto pake filter ? Gak ada tombol simpan lagi..
Wini Faulina,1,2024-05-06 13:48:21,Tik tok tolong kembalikan fitur simpan foto/video..😭😭 pliss ga asik bngt kalau ga ada fitur itu.. jadi gamood buka tik tok kalau ga ada fitur itu😔😔
Gita Gita,2,2024-05-06 13:26:01,Kenapa ketika saya membuat video saya sendiri.kenapa tidak bisa di unduh ada masalah apa dengan tik tok saya tolong mohon bantuan nya agar video yg saya bikin bisa di unduh🙏
Ari Zen,1,2024-05-06 13:09:58,"Update terlalu sering, setiap buka aplikasi tiktok selalu muncul bug sangat memenuhi file sampah & selalu ngelag, tanpa berbayar jangan harap tinggi jam tayang, apalagi FYP, sekarang tiktok bukan target utama para konten kreator, melainkan tempat penjualan yang di prioritaskan."
natasya amora,1,2024-05-06 12:53:49,"Mungkin ini bug, soalnya aku gabisa masuk tiktok, jadi tolong di tingkat lagi, biar bug nya ilang"
Muddasir Mudda,4,2024-05-06 12:30:30,"Ku kasih bintang 4 dulu kalo udah ada fitur pesan suara ku tambahin satu bintang lagi..Fitur2 lain udah ada, kenapa fitur pesan suara ngk ada, coba lah bikin pesan suara biar enak.."
SSE Sinar Mentari,2,2024-05-06 12:28:53,Udh ke 2x dapet kriman paket yg sama skli tidak pernah saya pesan!! Tolonglah buat tiktok untuk menangani kasus² yg seperti ini merasa di rugikan skli!!
Ujang Taryana,4,2024-05-06 11:50:31,"Memang untuk sekarang tiktok semakin bagus karena banyak fitur yang menarik dan ada juga sedikit perubahan seperti (K) diganti jadi (rb).tapi aku kasih bintang 4 karena sering lag di hp apalagi klo hp udah panas terus buka aplikasi tiktok aku jdi sering ilfeel,bawaan nya pengen ganti hp,padahal ini udah hp terbaru...aku mohon tiktok untuk mengurangi beban di aplikasi agar kita sebagai penggunanya bisa menggunakan tiktok tanpa harus was-was karena lemott....makasihh...."
Maulidiya Machfira,5,2024-05-06 11:40:52,Saya suka sih aplikasi tiktok ini tapi saya saran kan ke yang membuat tiktok kok nonton tapi mau ke bawah gk bisa itu kanapa ya kalau mau ke bawah harus pake dua jari udah itu saja mohon di perbaiki lagi biar orang orang atau anak anak remaja tidak terkena seperti saya😡😡
Fantastic Alif,1,2024-05-06 10:06:36,"Untuk pihak developer TikTok, apakah bisa menambah fitur sembunyikan konten atau memblokir konten yang tidak disukai? Tidak semua penonton TikTok orang dewasa, serta kerap kali apa yang muncul di beranda tidak sesuai kesukaan penguna, hanya mengikuti algoritma Tiktok. Jika hal itu mengurangi jumlah penonton video, maka lebih baik pihak tiktok mendorong para pembuat konten agar membuat konten yang lebih berkualitas."
Peyek Laron,1,2024-05-06 06:25:58,"Sangat buruk, agak ga nyaman sama isi komenan sekarang, isinya kek ampas² semua, trus sistem report dari tiktod pun ga membantu sama sekali, bahkan beberapa konten sekarang rada kontof isinya, bocil belum puber otaknya udh pada sagnean, semangat!! Semoga kedepannya bisa jadi tambah buruk lagi 👍👍"
